news_source,rating,rating_num,type,agree,disagree,perc_agree,url,editorial_review,blind_survey,third_party_analysis,independent_research,confidence_level,twitter,wiki,facebook,screen_name,Cluster,PCA1,PCA2
Arkansas Democrat-Gazette,left,1.0,News Media,818,619,0.5692414752957551,https://www.allsides.com/news-source/arkansas-democrat-gazette,0,0,0,0,Low or Initial Rating,,,,,0,-610.3055385013365,-11.836641287684728
Associated Press,center,3.0,News Media,8112,5817,0.5823820805513676,https://www.allsides.com/news-source/associated-press-media-bias,1,0,0,0,Medium,https://twitter.com/@johnleicester?ref_src=twsrc%5Etfw,https://en.wikipedia.org/wiki/Associated_Press,https://www.facebook.com/APNews/,johnleicester,2,8252.320173858965,-1306.2496922840608
Association for Psychological Science,center,3.0,Think Tank / Policy Group,652,526,0.5534804753820034,https://www.allsides.com/news-source/association-psychological-science,0,0,0,1,Low or Initial Rating,,,,,0,-794.4998077321626,35.88615966670895
Atlanta Journal-Constitution,left-center,2.0,News Media,749,690,0.5205003474635164,https://www.allsides.com/news-source/atlanta-journal-constitution,0,0,0,0,Low or Initial Rating,https://twitter.com/ajc,https://en.wikipedia.org/wiki/The_Atlanta_Journal-Constitution,https://www.facebook.com/ajc/,ajc,0,-610.9913059513821,87.16603180079055
Atlas Network,right,5.0,Think Tank / Policy Group,267,178,0.6,https://www.allsides.com/news-source/atlas-network,0,0,0,1,Medium,,,,,0,-1313.2474047503435,51.05001129736473
AtlasOne,right-center,4.0,Think Tank / Policy Group,208,241,0.4632516703786191,https://www.allsides.com/news-source/atlasone,0,0,0,1,Medium,,,,,0,-1312.2493087431671,137.35763369538313
Austin American-Statesman,left-center,2.0,News Media,659,498,0.5695764909248056,https://www.allsides.com/news-source/austin-american-statesman,0,0,0,1,Low or Initial Rating,https://twitter.com/statesman,https://en.wikipedia.org/wiki/Austin_American-Statesman,https://www.facebook.com/statesman,statesman,0,-808.8207894582539,10.828044824902236
Axios,center,3.0,News Media,1356,1565,0.4642245806230743,https://www.allsides.com/news-source/axios,0,1,0,1,Low or Initial Rating,https://twitter.com/@axios,https://en.wikipedia.org/wiki/Axios_(website),https://www.facebook.com/axiosnews/,axios,0,432.6859093509686,298.85438053828733
AZ Central,center,3.0,News Media,9,25,0.2647058823529412,https://www.allsides.com/news-source/az-central-media-bias,0,0,0,0,,https://twitter.com/azcentral,https://en.wikipedia.org/wiki/The_Arizona_Republic,https://www.facebook.com/azcentral/,azcentral,0,-1605.3776687753814,119.1155630874967
Barnstable Patriot,center,3.0,News Media,431,502,0.4619506966773847,https://www.allsides.com/news-source/barnstable-patriot,0,0,0,0,Low or Initial Rating,,https://en.wikipedia.org/wiki/Barnstable_Patriot,,,0,-970.6565374619648,171.48047379764733
BBC News,center,3.0,News Media,11212,10996,0.5048631123919308,https://www.allsides.com/news-source/bbc-news-media-bias,0,0,0,1,Medium,https://twitter.com/bbcworld,https://en.wikipedia.org/wiki/BBC,https://www.facebook.com/bbcnews/,bbcworld,2,14073.960431128382,287.6593027228189
Bearing Drift,right,5.0,News Media,527,453,0.5377551020408163,https://www.allsides.com/news-source/bearing-drift,0,0,0,1,High,,,,,0,-935.2553401522416,69.67791816710258
Ben Sargent (cartoonist),left,1.0,Author,174,199,0.4664879356568364,https://www.allsides.com/news-source/ben-sargent-cartoonist,checked,0,0,0,,,,,,0,-1365.857358780015,130.56226070882803
Ben Shapiro,right,5.0,Author,1123,682,0.6221606648199446,https://www.allsides.com/news-source/ben-shapiro,0,0,0,1,,,,,,0,-346.5193745277152,-177.398920244711
Ben Stein,right-center,4.0,Author,507,373,0.5761363636363637,https://www.allsides.com/news-source/ben-stein,checked,0,0,0,,,,,,0,-1005.050275048687,25.761312233803793
Beth Ballentine,center,3.0,Author,315,368,0.4612005856515373,https://www.allsides.com/news-source/beth-ballentine,0,0,0,1,Low or Initial Rating,,,,,0,-1147.1234881465934,155.00601880648014
Better Angels,allsides,,News Media,0,0,,https://www.allsides.com/news-source/better-angels-media-bias,0,0,0,0,Low or Initial Rating,,,,,0,-1629.1739301035516,107.2944702273024
Billy Binion,center,3.0,Author,214,164,0.5661375661375662,https://www.allsides.com/news-source/billy-binion,0,0,0,1,Medium,,,,,0,-1361.1977938852374,77.61614701226615
Bloomberg,center,3.0,News Media,6430,7570,0.4592857142857143,https://www.allsides.com/news-source/bloomberg-media-bias,0,1,0,1,Medium,https://twitter.com/business,https://en.wikipedia.org/wiki/Bloomberg_News,https://www.facebook.com/bloombergbusiness/,business,2,8250.99693337344,1123.1805384721758
Blue Virginia,left,1.0,News Media,635,456,0.5820348304307974,https://www.allsides.com/news-source/blue-virginia,checked,0,0,0,,,,,,0,-855.2093990629696,-2.88683920372398
Bob Gorrell (cartoonist),right,5.0,Author,217,170,0.5607235142118863,https://www.allsides.com/news-source/bob-gorrell-cartoonist,checked,0,0,0,,,,,,0,-1354.8802916581787,79.871968554882
Boing Boing,left,1.0,News Media,763,490,0.6089385474860335,https://www.allsides.com/news-source/boing-boing,0,0,0,0,Low or Initial Rating,https://twitter.com/boingboing,http://en.wikipedia.org/wiki/Boing_Boing,https://www.facebook.com/boingboing,boingboing,0,-739.2740995862483,-66.91032294094533
Boston Herald,right-center,4.0,News Media,290,256,0.5311355311355311,https://www.allsides.com/news-source/boston-herald-media-bias,0,0,0,1,Low or Initial Rating,,,,,0,-1242.670544558364,91.44689571563671
