news_source,rating,rating_num,type,agree,disagree,perc_agree,url,editorial_review,blind_survey,third_party_analysis,independent_research,confidence_level,twitter,wiki,facebook,screen_name,Cluster,PCA1,PCA2
Daily Northwestern,left-center,2.0,News Media,307,320,0.4896331738437001,https://www.allsides.com/news-source/daily-northwestern,0,0,0,0,Low or Initial Rating,,,,,0,-1186.1126745253525,125.888259764682
Daily Press,right-center,4.0,News Media,287,385,0.4270833333333333,https://www.allsides.com/news-source/daily-press,0,0,0,1,Low or Initial Rating,https://twitter.com/Daily_Press,https://en.wikipedia.org/wiki/Daily_Press_(Virginia),https://www.facebook.com/dailypressnews/,Daily_Press,0,-1155.5748088131486,186.65369011663682
Daily Progress,center,3.0,News Media,352,341,0.5079365079365079,https://www.allsides.com/news-source/daily-progress,checked,0,0,0,,,https://en.wikipedia.org/wiki/The_Daily_Progress,,,0,-1139.0941902324882,109.91134743419585
Daily Targum,left-center,2.0,News Media,195,335,0.3679245283018867,https://www.allsides.com/news-source/daily-targum,0,0,0,1,Low or Initial Rating,,https://en.wikipedia.org/wiki/The_Daily_Targum,,,0,-1256.591269279543,214.21585407036775
Damon Linker,left-center,2.0,Author,221,237,0.482532751091703,https://www.allsides.com/news-source/damon-linker,0,0,0,1,Medium,,,,,0,-1305.6318087602656,125.47450848764849
Dan Lucas,right,5.0,Author,69,51,0.575,https://www.allsides.com/news-source/dan-lucas,0,0,0,0,,,,,,0,-1544.0702606183847,96.36910630201692
Dan Wasserman (cartoonist),left,1.0,Author,52,22,0.7027027027027027,https://www.allsides.com/news-source/dan-wasserman-cartoonist,checked,0,0,0,,,,,,0,-1576.4098604589842,87.19585833968523
Dana Milbank,center,3.0,Author,166,265,0.3851508120649652,https://www.allsides.com/news-source/dana-milbank,checked,0,0,0,,,,,,0,-1325.9642221001607,183.74624434447185
Dana Summers (cartoonist),right-center,4.0,Author,85,86,0.4970760233918128,https://www.allsides.com/news-source/dana-summers-cartoonist,checked,0,0,0,,,,,,0,-1508.3008744782608,110.56599599224779
David Brooks,right-center,4.0,Author,249,314,0.4422735346358792,https://www.allsides.com/news-source/david-brooks,0,0,0,1,Medium,,,,,0,-1232.1371907167465,161.68968205512152
David Holmes,left-center,2.0,Author,63,52,0.5478260869565217,https://www.allsides.com/news-source/david-holmes,0,0,0,1,Low or Initial Rating,,,,,0,-1547.7099413786593,101.2427581115267
David Ignatius,center,3.0,Author,111,142,0.4387351778656126,https://www.allsides.com/news-source/david-ignatius,0,0,0,1,Low or Initial Rating,,,,,0,-1450.7810598178937,133.00422447466457
David Leonhardt,left-center,2.0,Author,70,57,0.5511811023622047,https://www.allsides.com/news-source/david-leonhardt,0,0,0,0,,,,,,0,-1539.1965960470059,100.00884223965025
Debra Saunders,right,5.0,Author,128,107,0.5446808510638298,https://www.allsides.com/news-source/debra-saunders,checked,0,0,0,,,,,,0,-1462.7262806954,95.97298261212379
Defense One,center,3.0,News Media,156,147,0.5148514851485149,https://www.allsides.com/news-source/defense-one-media-bias,0,0,0,1,Low or Initial Rating,,,,,0,-1414.8337720634831,105.47618966418511
Democracy Now,left,1.0,News Media,5405,1833,0.7467532467532467,https://www.allsides.com/news-source/democracy-now,0,0,0,1,Low or Initial Rating,https://twitter.com/DemocracyNow,https://en.wikipedia.org/wiki/Democracy_Now!,https://www.facebook.com/democracynow,DemocracyNow,2,3541.2849123248798,-2309.3705267159226
Deseret News,right-center,4.0,News Media,1037,1685,0.3809698750918442,https://www.allsides.com/news-source/deseret-news,0,0,0,1,Low or Initial Rating,https://twitter.com/DeseretNews?ref_src=twsrcgoogletwcampserptwgrauthor,https://en.wikipedia.org/wiki/Deseret_News,https://www.facebook.com/deseretnews/,DeseretNews,0,285.419356683356,606.2199092338456
Dick Locher (cartoonist),right,5.0,Author,19,44,0.3015873015873015,https://www.allsides.com/news-source/dick-locher-cartoonist,checked,0,0,0,,,,,,0,-1585.011175145341,125.91301074387049
Dick Morris,right-center,4.0,Author,149,204,0.4220963172804532,https://www.allsides.com/news-source/dick-morris,checked,0,0,0,,,,,,0,-1380.4462578820614,151.4707299084016
Diplomatic Courier,center,3.0,News Media,283,218,0.564870259481038,https://www.allsides.com/news-source/diplomatic-courier,0,0,0,1,Medium,https://twitter.com/diplocourier,https://en.wikipedia.org/wiki/Diplomatic_courier,https://www.facebook.com/diplocourier,diplocourier,0,-1274.0182616415532,68.85662974927021
Drew Litton (cartoonist),center,3.0,Author,30,72,0.2941176470588235,https://www.allsides.com/news-source/drew-litton-cartoonist,checked,0,0,0,,,,,,0,-1557.6951603482007,138.51603556458775
Drew Sheneman (cartoonist),left,1.0,Author,57,47,0.5480769230769231,https://www.allsides.com/news-source/drew-sheneman-cartoonist,checked,0,0,0,,,,,,0,-1555.5013800470063,101.78474639409038
Drudge Report,right-center,4.0,News Media,1894,1203,0.6115595737810785,https://www.allsides.com/news-source/drudge-report,0,0,1,1,Medium,https://twitter.com/drudge_report,https://en.wikipedia.org/wiki/Drudge_Report,https://www.facebook.com/newdrudge/,drudge_report,0,570.6064907966963,-334.7590011418044
Duke Chronicle,center,3.0,News Media,328,319,0.5069551777434312,https://www.allsides.com/news-source/duke-chronicle,0,0,0,1,Low or Initial Rating,https://twitter.com/DukeChronicle,http://en.wikipedia.org/wiki/The_Chronicle_(Duke_University),https://www.facebook.com/dukechronicle,DukeChronicle,0,-1171.6437578938985,110.63534656078585
E J Dionne,left,1.0,Author,474,379,0.5556858147713951,https://www.allsides.com/news-source/e-j-dionne,0,0,0,0,Low or Initial Rating,,,,,0,-1024.7227494448366,52.9273537027454
Economic Policy Institute,left,1.0,Think Tank / Policy Group,138,152,0.4758620689655172,https://www.allsides.com/news-source/economic-policy-institute-0,0,0,0,0,,,,,,0,-1424.369046141032,121.54103890976123
Ed Rogers,right,5.0,Author,108,64,0.627906976744186,https://www.allsides.com/news-source/ed-rogers,0,0,0,0,,,,,,0,-1506.919043121305,78.76833569974121
EdVotes.org,left,1.0,Think Tank / Policy Group,87,37,0.7016129032258065,https://www.allsides.com/news-source/edvotesorg,0,0,0,0,,,,,,0,-1540.7625237147395,73.80678148485694
Edward Morrissey,right,5.0,Author,125,123,0.5040322580645161,https://www.allsides.com/news-source/edward-morrissey,checked,0,0,0,,,,,,0,-1453.8209138322993,109.59995924962513
Eli Parser,left,1.0,Author,13,9,0.5909090909090909,https://www.allsides.com/news-source/eli-parser-media-bias,0,0,0,0,Low or Initial Rating,,,,,0,-1613.5610779914687,104.79663172410235
Environmental Defense Fund,left-center,2.0,Think Tank / Policy Group,242,161,0.6004962779156328,https://www.allsides.com/news-source/environmental-defense-fund,0,0,0,0,,,,,,0,-1343.059193228652,56.07571851979678
Eric Allie (cartoonist),right,5.0,Author,99,87,0.532258064516129,https://www.allsides.com/news-source/eric-allie-cartoonist,checked,0,0,0,,,,,,0,-1497.5016967020852,101.60063278400125
Erik Wemple,center,3.0,Author,167,221,0.4304123711340206,https://www.allsides.com/news-source/erik-wemple,0,0,0,1,Low or Initial Rating,,,,,0,-1355.688061822094,151.28869130660004
Esquire,left,1.0,News Media,841,460,0.6464258262874711,https://www.allsides.com/news-source/esquire,0,0,0,1,Low or Initial Rating,,,,,0,-703.7208516553545,-142.54080481064273
Estes Park Trail Gazette,center,3.0,News Media,187,258,0.4202247191011236,https://www.allsides.com/news-source/estes-park-trail-gazette,0,0,0,0,,,,,,0,-1315.6470227111045,164.16167232865894
Eugene Robinson,left,1.0,Author,177,125,0.5860927152317881,https://www.allsides.com/news-source/eugene-robinson,checked,0,0,0,,,,,,0,-1414.8958353069156,75.06245506186016
Eurek Alert,center,3.0,News Media,278,309,0.4735945485519591,https://www.allsides.com/news-source/eurek-alert,0,0,0,0,Low or Initial Rating,https://twitter.com/EurekAlertAAAS,,https://www.facebook.com/EurekAlert?_rdr,EurekAlertAAAS,0,-1214.6605451330486,138.01341301193787
Ezra Klein,left,1.0,Author,264,197,0.5726681127982647,https://www.allsides.com/news-source/ezra-klein,0,0,0,0,Low or Initial Rating,,,,,0,-1302.2661853081106,66.84285010245144
Fact Checker Blog,center,3.0,News Media,667,550,0.5480690221857025,https://www.allsides.com/news-source/fact-checker-blog,0,0,0,1,Low or Initial Rating,,,,,0,-767.0638247598031,42.83359373428151
FactCheck.org,center,3.0,News Media,5490,4018,0.5774084981068573,https://www.allsides.com/news-source/factcheckorg-media-bias,0,0,0,0,Low or Initial Rating,,https://en.wikipedia.org/wiki/FactCheck.org,,,2,5114.56134092825,-790.7358821313961
FAIR,left-center,2.0,Think Tank / Policy Group,88,112,0.44,https://www.allsides.com/news-source/fairness-and-accuracy-reporting,0,0,0,0,,,,,,0,-1488.1443221563006,127.26073396871627
Fair.org,center,3.0,News Media,420,425,0.4970414201183432,https://www.allsides.com/news-source/fairorg,0,0,0,1,Low or Initial Rating,,,,,0,-1031.8780758811165,123.50212955540239
Falls Church News - Press,left,1.0,News Media,327,404,0.4473324213406293,https://www.allsides.com/news-source/falls-church-news-press,checked,0,0,0,,,,,,0,-1113.5499491042192,172.69266501062958
Family Research Council,right-center,4.0,Think Tank / Policy Group,277,468,0.3718120805369127,https://www.allsides.com/news-source/family-research-council,0,0,0,0,,,,,,0,-1105.3624199415344,253.49466040761314
Fareed Zakaria,center,3.0,Author,190,377,0.3350970017636684,https://www.allsides.com/news-source/fareed-zakaria,0,0,0,1,Low or Initial Rating,,,,,0,-1231.1390946917904,247.9973030559991
Federation of American Scientists,left-center,2.0,Think Tank / Policy Group,179,206,0.4649350649350649,https://www.allsides.com/news-source/federation-american-scientists,0,0,0,0,Low or Initial Rating,,,,,0,-1357.4039873956049,132.15612232304304
Financial Times,center,3.0,News Media,340,216,0.6115107913669064,https://www.allsides.com/news-source/financial-times-media-bias,1,0,0,1,Low or Initial Rating,,,,,0,-1234.2512819111894,27.971577478969166
Fiscal Times,right-center,4.0,News Media,653,525,0.5543293718166383,https://www.allsides.com/news-source/fiscal-times,0,0,0,1,Low or Initial Rating,,,,,0,-794.469818741036,34.472259729449775
FiveThirtyEight,center,3.0,News Media,3326,2019,0.6222637979420018,https://www.allsides.com/news-source/fivethirtyeight-0,0,0,0,1,Low or Initial Rating,https://twitter.com/FiveThirtyEight,https://en.wikipedia.org/wiki/FiveThirtyEight,https://www.facebook.com/fivethirtyeight,FiveThirtyEight,0,2169.0634277197305,-736.5243128142861
Food Democracy Now,left-center,2.0,Think Tank / Policy Group,111,105,0.5138888888888888,https://www.allsides.com/news-source/food-democracy-now,0,0,0,0,,,,,,0,-1476.3832322162866,106.29225978432937
Forbes,center,3.0,News Media,3972,2443,0.6191738113795792,https://www.allsides.com/news-source/forbes,0,0,0,0,,https://twitter.com/forbes/,https://en.wikipedia.org/wiki/Forbes,https://www.facebook.com/forbes/,forbes,0,2928.826916777921,-877.4193199501141
Foreign Affairs,center,3.0,News Media,771,427,0.6435726210350584,https://www.allsides.com/news-source/foreign-affairs,0,0,0,1,Low or Initial Rating,https://twitter.com/ForeignAffairs?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://en.wikipedia.org/wiki/Foreign_Affairs,https://www.facebook.com/ForeignAffairs/,ForeignAffairs,0,-777.0913878606934,-117.92849558621363
Fox News Latino,right,5.0,News Media,1587,841,0.6536243822075782,https://www.allsides.com/news-source/fox-news-latino,checked,0,0,0,Low or Initial Rating,,,,,0,98.48328216729283,-383.6744933622127
Fox News Opinion,right,5.0,News Media,6195,1550,0.7998708844415752,https://www.allsides.com/news-source/fox-news-editorial-media-bias,1,0,0,0,Low or Initial Rating,https://twitter.com/FoxNews,https://en.wikipedia.org/wiki/Fox_News,https://www.facebook.com/FoxNews/,FoxNews,2,3915.799726605481,-3060.321679720717
Fox Online News,right-center,4.0,News Media,22692,32082,0.4142841494139555,https://www.allsides.com/news-source/fox-news-media-bias,1,1,0,1,High,https://twitter.com/FoxNews,https://en.wikipedia.org/wiki/Fox_News,https://www.facebook.com/FoxNews/,FoxNews,1,36952.35331150961,7567.009211698229
Frank Bruni,left-center,2.0,Author,64,90,0.4155844155844156,https://www.allsides.com/news-source/frank-bruni,0,0,0,1,Low or Initial Rating,,,,,0,-1520.6938898318006,127.98473420247446
Frank Miniter,right,5.0,Author,276,272,0.5036496350364964,https://www.allsides.com/news-source/frank-miniter,0,0,0,0,Low or Initial Rating,,,,,0,-1241.7066040492373,112.68532824696184
Freakonomics,center,3.0,Think Tank / Policy Group,295,200,0.5959595959595959,https://www.allsides.com/news-source/freakonomics,0,0,0,0,,,,,,0,-1277.810043825194,47.558220671271954
Freedom House,right-center,4.0,Think Tank / Policy Group,92,131,0.4125560538116592,https://www.allsides.com/news-source/freedom-house,0,0,0,1,Low or Initial Rating,,,,,0,-1472.1094777935825,138.20987652735434
Froma Harrop,left-center,2.0,Author,61,51,0.5446428571428571,https://www.allsides.com/news-source/froma-harrop,checked,0,0,0,,,,,,0,-1549.8458044298447,101.90472247425038
FrontPage Magazine,right,5.0,News Media,443,344,0.5628970775095299,https://www.allsides.com/news-source/frontpage-magazine,checked,0,0,0,Medium,,,,,0,-1071.3213329019068,49.10970646482002
Gary Markstein (cartoonist),center,3.0,Author,36,65,0.3564356435643564,https://www.allsides.com/news-source/gary-markstein-cartoonist,checked,0,0,0,,,,,,0,-1558.2071398999205,129.31071477210014
Gary Varvel (cartoonist),right,5.0,Author,36,14,0.72,https://www.allsides.com/news-source/gary-varvel-cartoonist,checked,0,0,0,,,,,,0,-1593.49661043207,92.49148022744198
Gell,allsides,,Think Tank / Policy Group,27,13,0.675,https://www.allsides.com/news-source/gell-media-bias,0,0,0,1,Medium,,,,,0,-1600.6860333663906,97.99708843831485
George Will,right,5.0,Author,403,556,0.4202294056308654,https://www.allsides.com/news-source/george-will,0,0,0,1,,,,,,0,-953.5056856895139,229.84010660670634
Glenn Beck,right,5.0,Author,510,183,0.7359307359307359,https://www.allsides.com/news-source/glenn-beck,0,0,0,1,Low or Initial Rating,,,,,0,-1134.3549547255102,-113.48415947758345
Glenn McCoy (cartoonist),right,5.0,Author,24,18,0.5714285714285714,https://www.allsides.com/news-source/glenn-mccoy-cartoonist,checked,0,0,0,,,,,,0,-1599.3921530173786,103.68267030893222
Google News,left-center,2.0,News Media,167,85,0.6626984126984127,https://www.allsides.com/news-source/google-news-media-bias,1,0,0,1,Medium,https://twitter.com/Google,https://en.wikipedia.org/wiki/Google,https://www.facebook.com/Google/,Google,0,-1449.7932783479334,53.104128971519
GOP.gov,right,5.0,Think Tank / Policy Group,375,189,0.6648936170212766,https://www.allsides.com/news-source/gopgov,0,0,0,0,,,,,,0,-1227.6658867322255,-15.739202805326897
Grist,left-center,2.0,News Media,409,461,0.4701149425287356,https://www.allsides.com/news-source/grist,checked,0,0,0,,,,,,0,-1014.909284019991,157.103625759569
Grover Norquist,right,5.0,Author,237,63,0.79,https://www.allsides.com/news-source/grover-norquist,0,0,0,0,,,,,,0,-1414.4800541597424,-11.215188812123714
Guest Writer - Center,center,3.0,Author,2,4,0.3333333333333333,https://www.allsides.com/news-source/guest-writer-center-media-bias,0,0,0,0,High,,,,,0,-1624.9622390969428,108.79836048460943
Guest Writer - Left,left-center,2.0,Author,144,247,0.3682864450127877,https://www.allsides.com/news-source/guest-writer-left,0,0,0,0,Medium,,,,,0,-1354.3021148222135,185.97413854785157
Guest Writer - Right,right-center,4.0,Author,200,307,0.3944773175542406,https://www.allsides.com/news-source/guest-writer-right,0,0,0,0,Medium,,,,,0,-1272.356182198458,190.5416348112267
Hampton Roads Messanger,center,3.0,News Media,332,331,0.5007541478129713,https://www.allsides.com/news-source/hampton-roads-messanger,checked,0,0,0,,,,,,0,-1160.4525971873718,116.53089848652232
Harvard Business School,left-center,2.0,News Media,612,708,0.4636363636363636,https://www.allsides.com/news-source/harvard-business-school,0,0,0,1,Low or Initial Rating,,,,,0,-697.4426817595383,194.95821301729643
Healthcare.gov,left-center,2.0,Think Tank / Policy Group,177,339,0.3430232558139535,https://www.allsides.com/news-source/healthcaregov,0,0,0,0,,,,,,0,-1266.818505727574,229.55874845419993
Heather Mac Donald,right,5.0,Author,44,80,0.3548387096774194,https://www.allsides.com/news-source/heather-mcdonald,0,0,0,1,Medium,,,,,0,-1542.0523151361635,134.60427438638027
Henry A. Brechter,center,3.0,Author,11,7,0.6111111111111112,https://www.allsides.com/news-source/henry-brechter-media-bias,1,0,0,1,Medium,,,,,0,-1616.3888586991166,104.73662250377235
Henry Payne (cartoonist),right,5.0,Author,56,79,0.4148148148148148,https://www.allsides.com/news-source/henry-payne-cartoonist,checked,0,0,0,,,,,,0,-1534.0809444560293,125.57893342196999
Herald Democrat,left,1.0,News Media,398,304,0.5669515669515669,https://www.allsides.com/news-source/herald-democrat-0,0,0,0,1,Low or Initial Rating,,,,,0,-1131.4868296911172,51.36966199179297
Hirsh Joshi,left-center,2.0,Author,0,0,,https://www.allsides.com/news-source/hirsh-joshi-media-bias,0,0,0,0,,,,,,0,-1629.1739240665258,107.29447464337764
Honolulu Civil Beat,center,3.0,News Media,270,371,0.4212168486739469,https://www.allsides.com/news-source/honolulu-civil-beat,0,0,0,0,Low or Initial Rating,,,,,0,-1177.535196894009,188.30962315834643
HotAir,right-center,4.0,News Media,941,840,0.5283548568220101,https://www.allsides.com/news-source/hotair,0,0,0,1,Low or Initial Rating,https://twitter.com/hotairblog,https://en.wikipedia.org/wiki/Hot_Air,https://facebook.com/hotaircom,hotairblog,0,-368.5852800370071,62.603370736643136
How Do We Fix It?,center,3.0,News Media,554,548,0.5027223230490018,https://www.allsides.com/news-source/how-do-we-fix-it,0,0,0,1,Medium,https://twitter.com/fixitshow,,https://www.facebook.com/profile.php?id=100009480370928,fixitshow,0,-850.0275399325142,119.5800742622248
Howard Kurtz,center,3.0,News Media,24,22,0.5217391304347826,https://www.allsides.com/news-source/howard-kurtz-media-bias,0,0,0,0,Low or Initial Rating,,,,,0,-1596.6243401659942,106.57046264298461
Howard Kurtz,center,3.0,Author,372,286,0.5653495440729484,https://www.allsides.com/news-source/howard-kurtz,0,0,0,1,Low or Initial Rating,,,,,0,-1162.7125217765106,56.36534274449736
HuffPost,left,1.0,News Media,20470,19857,0.5076003669997768,https://www.allsides.com/news-source/huffpost-media-bias,1,1,1,1,High,https://twitter.com/HuffPost,https://en.wikipedia.org/wiki/HuffPost,https://www.facebook.com/HuffPost,HuffPost,1,26889.100180387875,278.741658031638
Inacow,right,5.0,News Media,330,221,0.5989110707803993,https://www.allsides.com/news-source/inacow,0,0,0,1,Low or Initial Rating,https://twitter.com/inacowcom,,https://www.facebook.com/inacowcom,inacowcom,0,-1238.0109959312072,38.500797132372924
Independent Institute,right-center,4.0,Think Tank / Policy Group,164,200,0.4505494505494505,https://www.allsides.com/news-source/independent-institute,0,0,0,1,Medium,https://twitter.com/IndependentInst,https://en.wikipedia.org/wiki/Independent_Institute,https://www.facebook.com/independentinstitute,IndependentInst,0,-1372.3848572233262,138.20368585885763
Independent Journal Review,right-center,4.0,News Media,1143,1045,0.5223948811700183,https://www.allsides.com/news-source/independent-journal-review,0,0,0,1,Medium,https://twitter.com/ijreview,,https://www.facebook.com/IjReview,ijreview,0,-80.90255242656758,70.8282162140718
Indiana Daily Student,center,3.0,News Media,233,310,0.429097605893186,https://www.allsides.com/news-source/indiana-daily-student,0,0,0,1,Low or Initial Rating,,,,,0,-1246.4561095096192,169.8731087681062
Indy Online,center,3.0,News Media,225,252,0.4716981132075472,https://www.allsides.com/news-source/indy-online,0,0,0,0,Low or Initial Rating,,,,,0,-1292.3648036599757,133.53589195624951
Indy Week,left-center,2.0,News Media,255,300,0.4594594594594595,https://www.allsides.com/news-source/indy-week,0,0,0,1,Low or Initial Rating,,,,,0,-1237.4928092561345,147.43075548360508
InfoWars,right,5.0,News Media,4079,931,0.8141716566866267,https://www.allsides.com/news-source/infowars,0,0,0,1,Medium,https://twitter.com/infowars,"https://en.wikipedia.org/wiki/Alex_Jones_(radio_host) This is the page for Alex Jones//
https://en.wikipedia.org/wiki/InfoWars Page for Infowars",https://www.facebook.com/InfoWars-80256732576/,infowars,0,1959.8464171027738,-2043.0392534558155
Inside Philanthropy,center,3.0,News Media,256,272,0.4848484848484848,https://www.allsides.com/news-source/inside-philanthropy,0,0,0,0,,,,,,0,-1256.1454971252324,126.5243414152645
Intellectual Conservative,right-center,4.0,News Media,317,327,0.4922360248447205,https://www.allsides.com/news-source/intellectual-conservative,0,0,0,0,,,,,,0,-1174.0495829251504,124.02236587937318
International Business Times,center,3.0,News Media,945,705,0.5727272727272728,https://www.allsides.com/news-source/international-business-times,checked,0,0,0,,,https://en.wikipedia.org/wiki/International_Business_Times,,,0,-459.1107878073649,-37.627028985324145
Investor's Business Daily,right-center,4.0,News Media,1067,850,0.5565988523735003,https://www.allsides.com/news-source/investors-business-daily,0,0,0,1,Low or Initial Rating,,https://en.wikipedia.org/wiki/Investor%27s_Business_Daily,,,0,-270.7006751055578,-17.36289905156481
IVN,center,3.0,News Media,371,359,0.5082191780821917,https://www.allsides.com/news-source/ivn,0,0,0,1,Medium,https://twitter.com/ivn,,https://www.facebook.com/IVN,ivn,0,-1112.9221048518627,109.75929984165121
Jack Ohman (cartoonist),left,1.0,Author,38,26,0.59375,https://www.allsides.com/news-source/jack-ohman-cartoonist,checked,0,0,0,,,,,,0,-1583.7492935480934,99.77094688409254
Jack Welch,right-center,4.0,Author,78,58,0.5735294117647058,https://www.allsides.com/news-source/jack-welch,checked,0,0,0,,,,,,0,-1532.729095967167,95.19517617558621
Jacobin,left,1.0,News Media,461,74,0.8616822429906542,https://www.allsides.com/news-source/jacobin-media-bias,0,0,0,1,Low or Initial Rating,,,,,0,-1245.1528164040728,-158.27062306666818
James Hohmann,right-center,4.0,Author,27,37,0.421875,https://www.allsides.com/news-source/james-hohmann,checked,0,0,0,,,,,,0,-1584.0792580288278,115.32379134418352
James Pethokoukis,right-center,4.0,Author,59,67,0.4682539682539682,https://www.allsides.com/news-source/james-pethokoukis,0,0,0,1,Low or Initial Rating,,,,,0,-1540.2184821817239,114.83973255922467
James Poulos,right,5.0,Author,47,27,0.6351351351351351,https://www.allsides.com/news-source/james-poulos,0,0,0,1,Low or Initial Rating,,,,,0,-1576.5598380503004,94.26531167951693
Jeff Danziger (cartoonist),left,1.0,Author,39,39,0.5,https://www.allsides.com/news-source/jeff-danziger-cartoonist,checked,0,0,0,,,,,,0,-1574.0319961639848,108.46428957064397
Jeff Jacoby,right,5.0,Author,69,48,0.5897435897435898,https://www.allsides.com/news-source/jeff-jacoby,0,0,0,1,Low or Initial Rating,,,,,0,-1546.1460887576127,94.20326067411523
Jeff Stahler (cartoonist),left,1.0,Author,51,32,0.6144578313253012,https://www.allsides.com/news-source/jeff-stahler-cartoonist,checked,0,0,0,,,,,,0,-1570.2123041014936,95.10726531057563
Jen Sorensen (cartoonist),left,1.0,Author,47,29,0.618421052631579,https://www.allsides.com/news-source/jen-sorensen-cartoonist,checked,0,0,0,,,,,,0,-1575.1759356566595,95.70923000249533
Jennifer Rubin,left-center,2.0,Author,111,189,0.37,https://www.allsides.com/news-source/jennifer-rubin,0,0,0,0,,,,,,0,-1418.2594182381981,166.9356687108509
Jeremy E Sherman,left-center,2.0,Author,11,11,0.5,https://www.allsides.com/news-source/jeremy-e-sherman-media-bias,0,0,0,1,Low or Initial Rating,,,,,0,-1613.6210519904196,107.62441327338257
Jerry Bowyer,right,5.0,Author,123,217,0.3617647058823529,https://www.allsides.com/news-source/jerry-bowyer,checked,0,0,0,Low or Initial Rating,,,,,0,-1390.2214887064997,178.84672106860955
Jerry Holbert (cartoonist),right,5.0,Author,41,36,0.5324675324675324,https://www.allsides.com/news-source/jerry-holbert-cartoonist,checked,0,0,0,,,,,,0,-1574.663980542184,104.9145340462477
Jesse Jackson,left,1.0,Author,312,54,0.8524590163934426,https://www.allsides.com/news-source/jesse-jackson,0,0,0,1,Medium,,,,,0,-1366.5616640660824,-69.60895296202109
Jezebel,left,1.0,News Media,63,21,0.75,https://www.allsides.com/news-source/jezebel-media-bias,0,0,0,1,Low or Initial Rating,,,,,0,-1569.1603903418536,78.86244985959921
Jim Morin (cartoonist),left,1.0,Author,26,9,0.7428571428571429,https://www.allsides.com/news-source/jim-morin-cartoonist,checked,0,0,0,,,,,,0,-1604.1757894705765,95.80127236944773
Jim Rutenberg,left-center,2.0,Author,48,43,0.5274725274725275,https://www.allsides.com/news-source/jim-rutenberg,0,0,0,0,,,,,,0,-1564.7666942091892,105.12451335376912
Joan Blades,left,1.0,Author,41,74,0.3565217391304348,https://www.allsides.com/news-source/joan-blades,0,0,0,1,Low or Initial Rating,,,,,0,-1548.3698275081636,132.34847109377617
Joe Scarborough,right-center,4.0,Author,131,548,0.1929307805596465,https://www.allsides.com/news-source/joe-scarborough,0,0,0,0,,,,,,0,-1155.4104151705465,412.27501436909796
Joel Pett (cartoonist),left,1.0,Author,46,42,0.5227272727272727,https://www.allsides.com/news-source/joel-pett-cartoonist,checked,0,0,0,,,,,,0,-1566.9025288013404,105.7864731156143
John Boehner,right,5.0,Author,153,235,0.3943298969072165,https://www.allsides.com/news-source/john-boehner,0,0,0,0,Low or Initial Rating,,,,,0,-1356.1080277587653,171.08322925085722
John Deering (cartoonist),center,3.0,Author,34,41,0.4533333333333333,https://www.allsides.com/news-source/john-deering-cartoonist,checked,0,0,0,,,,,,0,-1576.2578343877399,113.36792420643492
John Fund,right-center,4.0,Author,79,97,0.4488636363636363,https://www.allsides.com/news-source/john-fund,0,0,0,1,Low or Initial Rating,,,,,0,-1505.0210718941025,122.65908803100785
"John Gable, AllSides Founder",right-center,4.0,Author,103,133,0.4364406779661017,https://www.allsides.com/news-source/john-gable,1,0,0,1,Medium,,,,,0,-1462.7841795424363,132.04231408474706
John K. Herr,right-center,4.0,Author,37,32,0.5362318840579711,https://www.allsides.com/news-source/john-k-herr,checked,0,0,0,,,,,,0,-1580.3195561591467,104.79455795048311
John Pudner,right,5.0,Author,50,74,0.4032258064516129,https://www.allsides.com/news-source/john-pudner,0,0,0,1,Medium,,,,,0,-1541.8723445288233,126.12089951550122
John Stossel,right-center,4.0,Author,454,373,0.5489721886336155,https://www.allsides.com/news-source/john-stossel,0,0,0,1,Medium,,,,,0,-1043.3133516927555,62.43466324656883
Jon Terbush,left-center,2.0,Author,89,126,0.413953488372093,https://www.allsides.com/news-source/jon-terbush,0,0,0,1,Low or Initial Rating,,,,,0,-1477.7350522098354,136.67600957897028
Jonah Goldberg,right,5.0,Author,15,22,0.4054054054054054,https://www.allsides.com/news-source/jonah-goldberg-media-bias,0,0,0,1,Low or Initial Rating,,,,,0,-1603.1218374675339,112.79800157181333
Jonathan Chait,left,1.0,Author,79,72,0.5231788079470199,https://www.allsides.com/news-source/jonathan-chait,0,0,0,1,Medium,,,,,0,-1522.319807718039,104.61046633316393
Jonathan Miller,left,1.0,Author,53,57,0.4818181818181818,https://www.allsides.com/news-source/jonathan-miller,0,0,0,1,Medium,,,,,0,-1551.469637113513,111.77199368729798
Journalist's Resource,center,3.0,News Media,218,253,0.4628450106157112,https://www.allsides.com/news-source/journalists-resource,0,0,0,1,Low or Initial Rating,https://twitter.com/journoresource,"https://en.wikipedia.org/wiki/Shorenstein_Center_on_Media,_Politics_and_Public_Policy",,journoresource,0,-1296.7264479903208,139.10147966848615
Juan Williams,left-center,2.0,Author,293,270,0.5204262877442274,https://www.allsides.com/news-source/juan-williams,0,0,0,0,,,,,,0,-1230.81741657197,99.47829748130572
Jubilee Media,center,3.0,News Media,108,82,0.5684210526315789,https://www.allsides.com/news-source/jubilee-media-bias,0,0,0,1,,,,,,0,-1494.4639055774958,91.76335304366945
